participant_id,Manip_intimacy,manip_thoughtful,manip_awkward,group_engage,group_enjoy,group_laugh,group_fun,group_close,group_like,group_other_like,group_other_tell,group_other_share,group_other_honest,group_other_know,group_tell,group_intimate,group_honest,group_know,IOS_slider_1,know_prior_study,know_prior_number,self_letter,personA_know,personA_name,personA_convos,PersonB_know,PersonB_name,PersonB_convos,PersonC_know,PersonC_name,PersonC_convos,PersonD_know,PersonD_name,PersonD_convos,technical_issues_p1,session,condition,school_belong,school_fit_in,school_outsider,school_comfort,school_uncertain,class_belong,class_fit_in,class_outsider,class_comfort,class_uncertain,know_prior_class,moti_intris_interest,moti_intris_like,moti_util_now,moti_util_future,moti_util_grad,class_enjoy,class_disclose,class_perform,demograph_birth,demog_gender_female,demog_gender_male,demog_gender_trans,demog_gender_twospirit,demog_gender_genderqueer,demog_gender_other,demog_gender_no_answer,demograph_gender_34_TEXT,demograph_race_41,demograph_race_11,demograph_race_12,demograph_race_13,demograph_race_19,demograph_race_31,demograph_race_32,demograph_race_33,demograph_race_39,demograph_race_21,demograph_race_22,demograph_race_23,demograph_race_29,demograph_race_51,demograph_race_52,demograph_race_59,demograph_race_42,demograph_race_89,demograph_race_99,demograph_race_89_TEXT,demograph_aca_year,demograph_aca_year_6_TEXT,demograph_inter_stud,psych_major_likely,demograph_parent_edu,demograph_share_p2,Finished_3,Question_1,Question_2,Question_3,Question_4,Question_5,Question_6,Question_7,Question_8,Question_9,Question_10,Question_11,gender_male_dummy,multiracial_sum,race_multiracial,race_white,race_black,race_hispanic,race_asian,race_native,Quiz_Q1,Quiz_Q2,Quiz_Q3,Quiz_Q4,Quiz_Q5,Quiz_Q6,Quiz_Q7,Quiz_Q8,Quiz_Q9,Quiz_Q10,Quiz_Q11,quiz_average,manip_check_comp2,self_disclosure_comp4,group_disclosure_comp4,school_outsiderR,school_belong_comp4,class_outsiderR,class_belong_comp4,motiv_intrins_comp2,motiv_util_comp3
103D,3,2,1,3,4,2,4,3,4,3,4,4,5,4,4,4,5,4,4,0,3,4,1,0,5,1,0,1,1,0,1,#NULL!,#NULL!,#NULL!,NA,103,1,6,6,2,6,2,7,6,1,7,1,0,4,4,4,4,4,3,3,6,2001,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,0,1,36,NA,1,1,1,1,2,3,1,1,2,3,2,3,1,NA,NA,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0.82,2.5,4.25,4.25,6,6,7,6.75,4,4
103B,1,3,1,4,4,3,4,3,5,3,3,2,4,3,3,2,5,2,3,0,3,2,1,0,5,#NULL!,#NULL!,#NULL!,1,0,1,#NULL!,#NULL!,#NULL!,NA,103,1,6,4,4,6,1,6,6,1,6,1,0,4,3,3,3,3,3,4,6,2002,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,3,35,NA,1,1,1,3,2,4,1,1,2,3,2,3,1,NA,NA,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0.82,2,3,3,4,5,7,6.25,3.5,3
103A,2,3,1,4,3,3,4,2,4,3,4,3,4,4,3,3,5,3,4,1,3,1,#NULL!,#NULL!,#NULL!,2,1,1,1,0,1,#NULL!,#NULL!,#NULL!,N/A,103,1,6,4,4,6,3,5,6,3,6,1,0,5,3,3,3,3,5,3,5,2001,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,0,1,36,N/A,1,1,1,1,3,1,1,2,2,1,1,3,1,NA,NA,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0.45,2.5,3.5,3.75,4,5,5,5.5,4,3
104C,2,3,3,3,3,2,2,2,3,3,3,2,3,3,2,2,4,3,3,0,4,3,1,0,5,1,1,1,#NULL!,#NULL!,#NULL!,1,0,1,NA,104,0,5,5,3,4,3,6,6,2,6,1,0,3,3,3,3,3,3,3,6,2002,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,0,2,37,NA,1,1,2,3,2,3,1,1,4,3,1,3,0,NA,NA,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0.73,2.5,2.75,2.75,5,4.75,6,6,3,3
104D,3,3,3,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,1,4,1,0,1,1,0,1,#NULL!,#NULL!,#NULL!,NA,104,0,6,6,3,2,3,6,6,3,2,2,0,5,4,3,4,5,3,2,5,2003,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,0,5,37,NA,1,1,1,3,2,4,3,3,2,3,1,3,0,NA,NA,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0.64,3,3,3,5,4.75,5,4.75,4.5,4
104A,2,3,2,3,4,2,3,1,3,3,3,2,4,2,4,3,5,4,2,1,4,1,#NULL!,#NULL!,#NULL!,3,1,4,1,0,1,1,0,1,"I know that at the start of the second round, I suggested that Kate (participant C) could start asking the questions in that round, and I later saw that I was supposed to start the asking in each round, so I apologize for that.",104,0,6,6,3,6,2,7,7,4,6,2,1,5,4,5,4,4,5,2,6,2002,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,0,2,36,The course material in our class is extremely interesting!,1,1,1,3,3,4,1,1,2,3,2,4,0,NA,NA,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0.73,2.5,4,2.75,5,5.75,4,6,4.5,4.333333333
104B,3,4,1,4,4,2,3,2,3,3,3,2,3,3,3,2,4,3,2,1,4,2,3,1,1,#NULL!,#NULL!,#NULL!,1,0,1,1,0,1,N/A,104,0,6,6,2,6,2,7,7,1,7,1,0,5,4,5,5,5,5,3,6,2001,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,0,1,37,N/A,1,1,2,3,2,1,2,1,2,3,2,3,0,NA,NA,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0.64,3.5,3,2.75,6,6,7,7,4.5,5
105D,3,4,2,4,4,4,3,3,5,4,4,3,5,3,3,3,4,3,5,2,4,4,2,1,3,3,1,3,1,0,1,#NULL!,#NULL!,#NULL!,The slider question was a little hard to move around.,105,0,6,7,1,7,3,7,7,1,7,1,2,5,4,5,5,4,5,1,6,2003,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,0,4,36,NA,1,1,2,3,2,4,1,3,3,3,2,2,0,NA,NA,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0.55,3.5,3.25,3.75,7,6.75,7,7,4.5,4.666666667
105C,2,3,3,3,3,2,2,1,3,3,3,2,3,3,3,2,5,3,4,1,4,3,1,1,5,1,1,1,#NULL!,#NULL!,#NULL!,1,0,1,N/A,105,0,7,7,1,7,3,5,5,3,5,3,1,4,3,4,4,2,5,4,5,2002,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,0,1,37,N/A,1,1,2,1,3,3,1,2,2,3,3,1,0,NA,NA,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0.45,2.5,3.25,2.75,7,7,5,5,3.5,3.333333333
105A,3,4,2,3,3,2,2,3,4,3,4,3,4,3,3,3,4,3,3,1,4,1,#NULL!,#NULL!,#NULL!,3,1,4,1,0,1,1,0,1,N/A,105,0,6,5,2,6,2,6,6,2,6,1,0,4,4,3,3,3,5,3,6,2003,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,0,4,36,N/A,1,1,1,1,2,2,1,3,1,3,2,1,0,NA,NA,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0.55,3.5,3.25,3.5,6,5.75,6,6,4,3
